
1853: Nov. 9,Harriett Nathan,Melbourne,Hobart,4,
1853: Nov. 11,Wellington,London,Hobart,14,
1853: Nov. 27,Eucalyptus,Melbourne,Hobart,11,
1853: Nov. 27,Euphemia,Melbourne,Hobart,5,
1853: Dec. 3,Sword Fish,Melbourne,Hobart,17,
1853: Dec. 14,Creole,Melbourne,Hobart,33,
1853: Dec. 17,Emma Prescott,Melbourne,Hobart,32,
1853: Dec. 23,Harriett Nathan,Melbourne,Hobart,13,
1854: Jan. 1,Eucalyptus,Melbourne,Hobart,3,
1854: Jan. 15,Euphemia,Melbourne,Hobart,12,
1854: Jan. 23,Sword Fish,Melbourne,Hobart,8,
1854: Feb. 1,Sir Allan McNab,Liverpool,Hobart,298,
1854: Feb. 14,Emma Prescott,Melbourne,Hobart,23,
1854: Feb. 20,Creole,Melbourne,Hobart,17,
1854: Feb. 23,Fingal,London,Launceston,4,
1854: Mar. 3,Eucalyptus,Melbourne,Hobart,42,
1854: Mar. 11,Pryde,Melbourne,Hobart,10,
1854: Mar. 18,Picard,Melbourne,Hobart,6,
1854: Mar. 27,Ann Bridson,London,Hobart,12,
1854: Apr. 5,Emma Prescott,Melbourne,Hobart,18,
1854: Apr. 18,Creole​,Melbourne,Hobart,26,
1854: Apr. 18,Eucalyptus,Melbourne,Hobart,21,
1854: Apr. 29,Tasmania,Melbourne,Hobart,18,
1854: May 13,Tasmania,Malbourne,Hobart,46,
1854: May 25,Constance,Melbourne,Launceston,4,
1854: Jun. 9,Emma Prescott,Melbourne,Hobart,16,
1854: Jun. 17,Creole,Melbourne,Hobart,11,
1854: Jun. 17,Eucalyptus,Melbourne,Hobart,3,
1854: Jun. 24,Tasmania,Melbourne,Hobart,38,
1854: Jul. 4,Themis ,Liverpool,Launceston,1,
1854: Jul. 6,Picard,Melbourne,Hobart,7,
1854: Jul. 25,Llewellyn,London,Launceston,5,
1854: July 8,Tasmania,Melbourne,Hobart,27,
1854: Jul. 19,Star in the East,-,Launceston,24,
1854: Jul. 22,Tasmania,Melbourne,Hobart,32,
1854: Jul. 25,Northumberland,Southhampton,Hobart,180,
1854: Jul. 27,Balmoral,London,Melbourne,25,
1854: Jul. 31,Creole,Melbourne,Hobart,22,
1854: Jul. 31,Emma Prescott,Melbourne,Hobart,11,
1854: Aug. 5,Tasmania,Melbourne,Hobart,20,
1854: Aug. 6,Eucalyptus,Melbourne,Hobart,22,
1854: Aug. 19,Tasmania,Melbourne,Hobart,54,
1854: Aug. 21,Juno,London,Launceston,24,
1854: Aug. 24,Prince of Wales,London,Launceston,12,
1854: Aug. 26,City of Hobart,Melbourne,Hobart,38,
1854: Aug. 26,Kingston,Southampton,Hobart,341,
1854: Aug. 26,Baltimore,London,Hobart,9,
1854: Sep. 2,Tasmania,Melbourne,Hobart,27,
1854: Sep. 10,Emma Prescott,Melbourne,Hobart,10,
1854: Sep. 12,City of Hobart,Melbourne,Hobart,34,
1854: Sep. 16,Creole,Melbourne,Hobart,13,
1854: Sep.​ 16,Banca,London,Launceston,2,
1854: Sep. 16,Maitland,Plymouth,Hobart,304,
1854: Sep. 19,Picard,Melbourne,Hobart,13,
1854: Sep. 19,Eucalyptus,Melbourne,Hobart,5,
1854: Sep. 23,City of Hobart,Melbourne,Hobart,18,
1854: Sep. 27,Reindeer,Melbourne,Hobart,15,
1854: Sep. 29,Caroline Middleton,Liverpool,Hobart,371,
1854: Sep. 30,Tasmania,Melbourne,Hobart,33,
1854: Oct. 7,Mousam,Melbourne,Hobart,11,
1854: Oct. 7,City of Hobart,Melbourne,Hobart,23,
1854: Oct. 20,Merlington,London,Launceston,136,
1854: Oct. 22,Creole,Melbourne,Hobart,19,
1854: Oct. 27,Colombus,Plymouth,Hobart,182,
1854: Oct. 30,Mooltan,Southampton,Hobart,257,
1854: Nov. 1,Eucalyptus,Melbourne,Hobart,16,
1854: Nov. 5,Wellington,London,Hobart,15,
1854: Nov. 20,Clasmerden,Liverpool,Launceston,8,
1854: Nov. 22,Honduras,London,Hobart,1,
1854: Nov. 26,Derwentwater,Plyouth,Hobart,13,
1854: Dec. 3,Lima,Falmouth,Hobart,7,
1854: Dec. 6,Duchess of Northumberland,Plymouth,Hobart,256,
1854: Dec. 6,Antipodes,London,Hobart,7,
1854: Dec. 21,Mary Goddard,London,Hobart,2,
1854: Dec. 23,Mobile [City of Hobart ,Liverpool,Hobart,1,
1854: Dec. 23,Constance [City of Hobart ,-,Hobart,2,
1854: Dec. 24,Sterlingshire,London,Launceston,8,
1854: Dec. 25,William Hammond,Plymouth,Hobart,257,
1854: Dec. 25,Southern Cross,London,Hobart,5,
1855: Jan. 3,Australasia,The Downs,Hobart,192,
1855: Jan. 5,Earl of Chester,London,Hobart,23,
1855: Feb. 3,Flora McDonald,Liverpool,Launceston,186,
1855: Feb. 13,Wanderer,London & The Downs,Hobart,185,
1855: Feb. 14,Duke of Lancaster,London,Hobart,2,
1855: Feb. 15,Fortitude,Plymouth,Hobart,147,
1855: Feb. 17 Jul. 28,Shalimar ,Liverpool,Launceston Hobart,4 3,
1855: Feb. 19,James Baines [ Indian Queen ,Liverpool,Hobart,322,
1855: Feb. 19,Indian Queen ,London via Melbourne,Hobart,193,
1855: Feb. 19,Chatham,London,Hobart,147,
1855: Feb. 24,Fingal,London,Launceston,25,
1855: Mar. 23,Lightning,England via Melbourne,Launceston,33,
1855: Mar. 25,Ocean Chief ,Liverpool,Hobart,129,
1855: Mar. 27,Raleigh,Southampton,Launceston,176,
1855: Mar. 31,Whirlwind,London,Launceston,255,
1855: Apr. 7,Commodore Perry,Liverpool,Launceston,429,
1855: Apr. 9,Eagle,England via Melbourne,Launceston,5,
1855: Apr. 23,Zeepard,London,Hobart,24,
1855: Apr. 26,Rienzi [City of Hobart ,Dublin,Hobart,3,
1855: Apr. 29,Annie Wilson,Via Melbourne,Launceston,4,
1855: May 9,Resolution,London,Launceston,1,
1855: May 18,Boomerang,Liverpool,Hobart,75,
1855: May 24,Clarence,-,Launceston,22,
1855: May 24,Lewe van Nyenstein,Hamburg,Hobart,122,
1855: May 24,Mermaid [C​ity of Hobart ,Liverpool,Hobart,34,
1855: Jun. 6,Queen Victoria,London,Launceston,52,
1855: Jun. 7,Blanche Moore [Lady Bird ,Liverpool,Launceston,18,
1855: Jun. 14,City of Hobart ,-,Hobart,4,
1855: Jun. 10,Katherine Sharer,London,Hobart,26,
1855: Jun. 25,Iceni,London,Launceston,8,
1855: Jun. 28,Augustus,Cowes,Hobart,12,
1855: Jun. 28,Montmorency,Liverpool,Launceston,86,
1855: Jun. 30,Marco Polo ,Liverpool,Hobart,57,
1855: Jul. 6,[Black Swan ,-,Launceston,5,
1855: Jul. 23,America,Liverpool,Hobart,246,
1855: Jul. 24,White Star[Lady Bird ,Liverpool,Launceston,12,
1855:  
         ,City of Hobart ,-,Hobart,132,
1855: Aug. 5,Senior,London,Hobart,6,
1855: Aug. 19,Miles Barton ,Liverpool,Launceston,7,
1855: Aug. 19,Startled Faun [Lady Bird ,England via Sydney & Melbourne,Launceston,8`,
1855: Aug. 21,Tasmania ,-,Hobart,68,
1855: Aug. 26,Wilhelmsburg,Hamburg,Hobart,476,
1855: Aug. 27,Heather Bell,London,Hobart,15,
1855: Aug. 27,Storm Cloud,Glasgow,Launceston,352,
1855: Aug. 28,Henry Reid,London,Launceston,1,
1855: Sep. 3,Donald McKay ,Liverpool,Launceston,31,
1855: & Sep. 6,City of Hobart ,-,Hobart,120,
